Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
ALO Online BA,ALOONLINE.BA,100071652637645,NEWS_SITE,BA,"Najbrže rastući portal u Bosni i Hercegovini
",2021-08-10 11:53:10,11397,11908,2022-09-24 23:00:04 EDT,2022-09-24,23:00:04,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/102427898815672/posts/192413093150485,"""Top izgledaš"", ""Dobra"", ""Divna"", ""Prelijepo"", ""Diva"", ""Tako zgodna i dobra"", redao se niz komentara ispod objave",https://aloonline.ba/poznati/kakve-obline-tea-ima-pjevacica-zanosnim-tijelom-zapalila-mreze-foto/,,,"""KAKVE OBLINE TEA IMA"" Pjevačica zanosnim tijelom zapalila mreže (FOTO)","""Top izgledaš"", ""Dobra"", ""Divna"", ""Prelijepo"", ""Diva"", ""Tako zgodna i dobra"", redao se niz komentara ispod objave",,,,-42
Al Jazeera Balkans,AJBalkans,163724720379445,TV_NETWORK,BA,"Al Jazeera Balkans - oficijelna stranica

",2011-09-22 16:32:34,545951,719460,2022-09-24 22:00:54 EDT,2022-09-24,22:00:54,Link,25,16,2,1,0,0,5,0,0,1,,-,0,0,0,N/A,https://www.facebook.com/163724720379445/posts/5603076726444190,Inicijativa mladih ljekara u Hrvatskoj okupila je više stotina liječnika u dosad najvećem protestu ispred Ministarstva zdravstva.,https://balkans.aljazeera.net/videos/2022/9/24/protesti-mladih-ljekara-traze-refermu-zdravstva-u-hrvatskoj,,,"Protesti mladih ljekara, traže refermu zdravstva u Hrvatskoj",Inicijativa mladih ljekara u Hrvatskoj okupila je više stotina liječnika u dosad najvećem protestu ispred Ministarstva zdravstva.,,,,-8.92
ALO Online BA,ALOONLINE.BA,100071652637645,NEWS_SITE,BA,"Najbrže rastući portal u Bosni i Hercegovini
",2021-08-10 11:53:10,11397,11908,2022-09-24 22:00:07 EDT,2022-09-24,22:00:07,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/102427898815672/posts/192406046484523,Bivši učesnik Zadruge Marko Janjušević Janjuš oglasio se na svom Instagram profilu povodom problema u kom se našao.,https://aloonline.ba/poznati/janjus-u-velikim-problemima-marko-se-pozalio-fanovima-i-podijelio-muke-koje-ga-muce-foto/,,,JANJUŠ U VELIKIM PROBLEMIMA Marko se požalio fanovima i podijelio muke koje ga muče (FOTO),"Naime, Janjušu su, prema sopstvenom priznanju, privatni problem napravile obnažene fotografije koje mu pripadnice nježnijeg pola šalju na društvenim mrežama. – Molim vas, ne šaljite mi gole slike. Imam privatnih problema. Hvala na razumevanju – napisao je Janjušević na Instagramu. Janju...",,,,-42
Biscani.net,portalbiscani,101820526552763,MEDIA_NEWS_COMPANY,BA,"Lokalni portal grada Bihaća, koji postoji 16 godina i ima epitet najposjećenijeg i najuspješnijeg portala u Unsko-sanskom kantonu. Jedini portal sa verificiranom facebook stranicom u USK. Registrovan portal u Vijeću za štampu i online medije u BiH. ",2010-10-28 08:34:38,229889,325146,2022-09-24 20:30:11 EDT,2022-09-24,20:30:11,Link,518,447,11,12,43,0,0,0,0,5,,-,0,0,0,N/A,https://www.facebook.com/101820526552763/posts/5514677025267059,Pronašao je usamljenog vuka u šumi – pogledao mu je šapu a zatim je napravio odluku koja mu je spasila život,https://www.biscani.net/pronasao-je-usamljenog-vuka-u-sumi-pogledao-mu-je-sapu-a-zatim-je-napravio-odluku-koja-mu-je-spasila-zivot15/,,,Pronašao je usamljenog vuka u šumi – pogledao mu je šapu a zatim je napravio odluku koja mu je spasila život,"U nekim državama u SAD, ljudi često pronađu kojote uhvaćene u zamkama – ne samo zato što ih ima previše, nego zato što kojoti vrlo često napadaju...",,,,17.27
Al Jazeera Balkans,AJBalkans,163724720379445,TV_NETWORK,BA,"Al Jazeera Balkans - oficijelna stranica

",2011-09-22 16:32:34,545949,719392,2022-09-24 20:00:45 EDT,2022-09-24,20:00:45,Link,10,4,3,1,0,0,0,2,0,0,,-,0,0,0,N/A,https://www.facebook.com/163724720379445/posts/5603071156444747,"Policija u Hercegovačko-neretvanskog kantona nema rukovodstva, napredovanja ni kvalitetnog nadzora nad radom policajaca. Stotine ih nedostaje, a već 19 godina oni koji rade ne mogu napredovati.",https://balkans.aljazeera.net/videos/2022/9/24/policija-u-hnk-u-talac-politike-bez-rukovodstva-dovoljno-sluzbenika-i-napredovanja,,,"Policija u HNK-u talac politike: Bez rukovodstva, dovoljno službenika i napredovanja","Policija u Hercegovačko-neretvanskog kantona nema rukovodstva, napredovanja ni kvalitetnog nadzora nad radom policajaca. Stotine ih nedostaje, a već 19 godina oni koji rade ne mogu napredovati.",,,,-23.1
Biscani.net,portalbiscani,101820526552763,MEDIA_NEWS_COMPANY,BA,"Lokalni portal grada Bihaća, koji postoji 16 godina i ima epitet najposjećenijeg i najuspješnijeg portala u Unsko-sanskom kantonu. Jedini portal sa verificiranom facebook stranicom u USK. Registrovan portal u Vijeću za štampu i online medije u BiH. ",2010-10-28 08:34:38,229889,325146,2022-09-24 20:00:14 EDT,2022-09-24,20:00:14,Link,15,8,7,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/101820526552763/posts/5514623441939084,Nećete vjerovati što prevozi ovaj kombi; ekipa na Fejsu umire od smijeha!,https://www.biscani.net/necete-vjerovati-sto-prevozi-ovaj-kombi-ekipa-na-fejsu-umire-od-smijeha14/,,,Nećete vjerovati što prevozi ovaj kombi; ekipa na Fejsu umire od smijeha!,"Facebook stranica Dnevna doza prosječnog Dalmatinca objavila je neobičan prizor snimljen na hrvatskim cestama, a ekipa ne može shvatiti kako je...",,,,-1.67
ALO Online BA,ALOONLINE.BA,100071652637645,NEWS_SITE,BA,"Najbrže rastući portal u Bosni i Hercegovini
",2021-08-10 11:53:10,11395,11906,2022-09-24 20:00:06 EDT,2022-09-24,20:00:06,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/102427898815672/posts/192393963152398,Modna blogerka i influenserka iz Srbije Zorana Jovanović poznatija kao Zorannah trenutno je na putovanju u Hrvatskoj,https://aloonline.ba/poznati/grudi-od-betona-zorannah-pokazala-bujno-poprsje-koje-ostavlja-bez-daha-foto/,,,"""GRUDI OD BETONA"" Zorannah pokazala bujno poprsje koje ostavlja bez daha (FOTO)","Naime, ona je otišla na poslovni put, a objavila je i nekoliko fotografija na Instagramu. Ovaj put Zorannah je pozirala u kupaćem kostimu crne boje. Pokazala je svoje atribute. – Maco – napisala je starleta Nives Celzijus, na šta je Zorannah napisala „Diži d**e, kreći na slikanje“. – ...",,,,-42
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,188939,204821,2022-09-24 20:00:05 EDT,2022-09-24,20:00:05,Link,30,11,15,0,0,0,4,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5122913067813194,"""Novomobilizovani Rusi pokazuju zahrđale AK-e koje su dobili""",https://www.oslobodjenje.ba/vijesti/svijet/novinar-objavio-snimak-oruzja-koje-dobijaju-mobilizovani-rusi-zahrdale-su-valjda-da-prenesu-tetanus-795269,,,"Novinar objavio snimak oružja koje dobijaju mobilizovani Rusi: ""Zahrđale su, valjda da prenesu tetanus""","""Novomobilizovani Rusi pokazuju zahrđale AK-e koje su dobili""",,,,-2.1
Biscani.net,portalbiscani,101820526552763,MEDIA_NEWS_COMPANY,BA,"Lokalni portal grada Bihaća, koji postoji 16 godina i ima epitet najposjećenijeg i najuspješnijeg portala u Unsko-sanskom kantonu. Jedini portal sa verificiranom facebook stranicom u USK. Registrovan portal u Vijeću za štampu i online medije u BiH. ",2010-10-28 08:34:38,229889,325146,2022-09-24 19:30:11 EDT,2022-09-24,19:30:11,Link,113,62,28,7,4,0,12,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/101820526552763/posts/5514574125277349,"Vlasnik stana se protivio obnovi fasade zgrade, ostali su mu se genijalno osvetili",https://www.biscani.net/vlasnik-stana-se-protivio-obnovi-fasade-zgrade-ostali-su-mu-se-genijalno-osvetili14/,,,"Vlasnik stana se protivio obnovi fasade zgrade, ostali su mu se genijalno osvetili","Uvijek se nađe jedan stanar koji radi probleme, zar ne? U ovom slučaju ostalim stanarima njegov glas nije bio pretjerano bitan, objavio je portal...",,,,4.52
Oslobodjenje,oslobodjenjeba,162926690478548,NEWS_SITE,BA,"Oficijelna Facebook stranica medijske grupacije Oslobođenje.
",2012-01-03 01:21:34,188939,204821,2022-09-24 19:30:03 EDT,2022-09-24,19:30:03,Link,3,3,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/162926690478548/posts/5122866027817898,"- Sve se dešavalo i sporo i brzo u isto vrijeme, kazala je",https://www.oslobodjenje.ba/vijesti/svijet/djevojka-za-dlaku-izbjegla-tragediju-pogledajte-kako-je-kran-smrskao-njen-automobil-u-new-yorku-795272,,,Djevojka za dlaku izbjegla tragediju: Pogledajte kako je kran smrskao njen automobil u New Yorku,"- Sve se dešavalo i sporo i brzo u isto vrijeme, kazala je",,,,-21
